BUSINESS_UNIT_1,BUSINESS_UNIT_2,DATE,OUTBOUND_FORECAST
WH1,CUST1,1/1/2022,2800
WH1,CUST1,1/2/2022,3350
WH1,CUST1,1/3/2022,3680
WH1,CUST1,1/4/2022,2494
WH1,CUST1,1/5/2022,3276
WH1,CUST1,1/6/2022,1795
WH1,CUST1,1/7/2022,2881
WH1,CUST1,1/8/2022,1902
WH1,CUST1,1/9/2022,3197
WH1,CUST1,1/10/2022,1680
WH1,CUST1,1/11/2022,3468
WH1,CUST1,1/12/2022,2577
WH1,CUST1,1/13/2022,3879
WH1,CUST1,1/14/2022,3649
WH1,CUST1,1/15/2022,2819
WH1,CUST1,1/16/2022,3459
WH1,CUST1,1/17/2022,1763
WH1,CUST1,1/18/2022,3287
WH1,CUST1,1/19/2022,3327
WH1,CUST1,1/20/2022,2893
WH1,CUST1,1/21/2022,2036
WH1,CUST1,1/22/2022,3686
WH1,CUST1,1/23/2022,2084
WH1,CUST1,1/24/2022,1734
WH1,CUST1,1/25/2022,2598
WH1,CUST1,1/26/2022,1800
WH1,CUST1,1/27/2022,1971
WH1,CUST1,1/28/2022,1576
WH1,CUST1,1/29/2022,3731
WH1,CUST1,1/30/2022,3615
WH1,CUST1,1/31/2022,2834
WH1,CUST1,2/1/2022,3537
WH1,CUST1,2/2/2022,3329
WH1,CUST1,2/3/2022,2212
WH1,CUST1,2/4/2022,3155
WH1,CUST1,2/5/2022,1542
WH1,CUST1,2/6/2022,1693
WH1,CUST1,2/7/2022,2554
WH1,CUST1,2/8/2022,2363
WH1,CUST1,2/9/2022,2986
WH1,CUST1,2/10/2022,3659
WH1,CUST1,2/11/2022,3257
WH1,CUST1,2/12/2022,2321
WH1,CUST1,2/13/2022,3088
WH1,CUST1,2/14/2022,3537
WH1,CUST1,2/15/2022,2600
WH1,CUST1,2/16/2022,3601
WH1,CUST1,2/17/2022,1555
WH1,CUST1,2/18/2022,2452
WH1,CUST1,2/19/2022,3699
WH1,CUST1,2/20/2022,3100
WH1,CUST1,2/21/2022,2470
WH1,CUST1,2/22/2022,1860
WH1,CUST1,2/23/2022,1629
WH1,CUST1,2/24/2022,3248
WH1,CUST1,2/25/2022,3093
WH1,CUST1,2/26/2022,2072
WH1,CUST1,2/27/2022,3396
WH1,CUST1,2/28/2022,2752
WH1,CUST1,3/1/2022,2119
WH1,CUST1,3/2/2022,1944
WH1,CUST1,3/3/2022,3313
WH1,CUST1,3/4/2022,2755
WH1,CUST1,3/5/2022,2545
WH1,CUST1,3/6/2022,3591
WH1,CUST1,3/7/2022,3607
WH1,CUST1,3/8/2022,3380
WH1,CUST1,3/9/2022,1537
WH1,CUST1,3/10/2022,3172
WH1,CUST1,3/11/2022,1838
WH1,CUST1,3/12/2022,3451
WH1,CUST1,3/13/2022,3716
WH1,CUST1,3/14/2022,3307
WH1,CUST1,3/15/2022,1540
WH1,CUST1,3/16/2022,2583
WH1,CUST1,3/17/2022,1795
WH1,CUST1,3/18/2022,3516
WH1,CUST1,3/19/2022,1795
WH1,CUST1,3/20/2022,3662
WH1,CUST1,3/21/2022,2923
WH1,CUST1,3/22/2022,1676
WH1,CUST1,3/23/2022,1922
WH1,CUST1,3/24/2022,2980
WH1,CUST1,3/25/2022,1666
WH1,CUST1,3/26/2022,2042
WH1,CUST1,3/27/2022,2169
WH1,CUST1,3/28/2022,3411
WH1,CUST1,3/29/2022,2630
WH1,CUST1,3/30/2022,3225
WH1,CUST1,3/31/2022,3188
WH1,CUST1,4/1/2022,1594
WH1,CUST1,4/2/2022,2564
WH1,CUST1,4/3/2022,1561
WH1,CUST1,4/4/2022,1968
